	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri
'6	7.0	4.1	2.4	2.3	2.8	4.7	5.0	4.7	3.1	6.2	5.4	3.3	1.3	2.9	1.9	3.1	3.1	6.5	5.6	3.5	1.8	4.4	4.4	3.0	2.3	7.5	6.9	8.1	4.3	6.3	2.8	2.2
'7	8.1	7.2	2.8	2.4	2.6	2.7	1.2	4.6	2.4	0.0	2.9	1.8	4.3	0.8	3.0	4.6	2.2	4.4	3.3	4.1	2.1	3.4	4.1	1.2	4.1	1.4	4.0	0.0	1.7	7.4	1.4	1.5
'8	0.0	0.0	2.5	2.1	1.9	3.1	1.3	1.0	2.7	3.5	3.3	2.0	3.1	3.8	3.8	2.1	2.5	1.5	2.2	0.0	1.6	2.4	5.8	8.0	1.6	6.6	0.0	0.0	3.8	2.8	3.2	2.3
'9	5.2	0.0	1.3	1.2	2.9	3.5	3.0	3.5	1.5	1.3	1.3	4.1	1.0	0.0	1.9	4.7	3.7	0.0	0.8	0.0	4.5	1.6	2.6	4.5	1.7	3.7	1.7	0.0	0.0	3.2	1.2	3.3
'10	0.0	3.4	0.3	1.0	2.0	1.0	6.7	7.9	10.2	1.5	0.0	0.5	2.8	1.2	1.1	1.3	0.0	2.7	0.9	5.8	0.0	2.4	2.9	1.7	1.0	2.1	0.0	0.0	0.0	7.0	0.0	1.5
11-15	7.6	4.1	6.5	7.5	5.8	11.4	6.5	9.3	12.4	10.9	5.3	7.1	8.4	4.3	11.0	11.6	8.5	9.3	6.7	8.7	10.6	6.0	8.9	2.3	6.7	18.4	2.7	7.7	5.7	4.9	3.6	4.2
16-20	0.0	17.9	3.8	3.7	5.3	12.2	9.0	11.2	12.4	10.4	5.0	5.2	3.1	0.0	4.8	13.2	5.1	3.1	6.2	0.0	3.5	4.3	2.3	3.0	3.4	11.8	3.3	4.5	4.3	6.3	1.4	6.5
21-50	0.0	9.0	20.4	20.6	18.8	11.0	11.9	17.7	4.4	19.7	18.5	19.2	16.4	42.1	30.1	8.5	16.8	5.6	23.6	0.0	16.7	16.3	21.1	25.2	25.5	20.1	40.3	20.8	23.4	7.4	13.8	22.6
51-100	0.0	0.0	15.9	16.2	16.3	0.0	0.0	0.0	0.0	0.0	25.2	20.3	19.8	8.1	12.8	14.8	13.4	25.5	5.7	42.4	17.1	13.2	0.0	0.0	0.0	0.0	10.8	0.0	0.0	0.0	20.8	13.8
101-150	0.0	0.0	3.3	3.2	3.1	0.0	0.0	0.0	0.0	0.0	0.0	5.7	5.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	11.1	0.0	0.0	0.0	0.0	0.0	8.3	0.0
151-200	0.0	0.0	4.5	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	15.4
