	Choanozoa_Choanoflagellatea_Monosiga_brevicollis	Choanozoa_Choanoflagellatea_Salpingoeca_rosetta	Chordata_Amphioxiformes_Branchiostoma_belcheri	Chordata_Amphioxiformes_Branchiostoma_floridae	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio	Chordata_Vertebrata_Homo_sapiens	Chordata_Vertebrata_Mus_musculus	Cnidaria_Anthozoa_Acropora_digitifera	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Stylophora_pistillata	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Myxozoa_Thelohanellus_kitauei	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis	Ctenophora_Nuda_Beroe_ovata	Ctenophora_Tentaculata_Mnemiopsis_leidyi	Ctenophora_Tentaculata_Pleurobrachia_bachei	Insecta_Diptera_Drosophila_melanogaster	Nematoda_Chromadorea_Caenorhabditis_elegans	Placozoa_Trichoplacidae_Trichoplax_spec-H2	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Porifera_Demospongiae_Amphimedon_queenslandica	Porifera_Demospongiae_Ephydatia_muelleri
'1	62	74	536	492	442	152	112	70	123	116	154	145	144	123	202	90	132	154	127	21	130	118	75	147	135	18	35	126	115	58	104	71
'2	16	22	264	342	368	112	64	60	80	64	128	166	148	66	132	64	106	94	112	6	118	190	112	56	144	50	36	50	46	28	74	114
'3	18	15	162	186	204	69	66	75	51	63	75	102	108	36	66	42	69	60	84	9	48	117	54	39	54	18	9	24	33	18	63	72
'4	8	16	120	132	132	64	36	36	20	40	36	92	96	36	68	44	56	40	68	8	52	60	36	16	36	16	16	28	12	20	44	40
'5	5	15	110	125	120	40	45	40	25	30	35	70	70	20	35	10	45	35	50	5	25	60	40	25	40	20	35	20	20	15	60	50
'6	12	12	84	90	96	48	30	36	18	42	78	66	24	24	36	24	30	72	60	6	18	72	30	18	24	36	36	36	18	18	42	30
'7	14	21	98	91	91	28	7	35	14	0	42	35	77	7	56	35	21	49	35	7	21	56	28	7	42	7	21	0	7	21	21	21
'8	0	0	88	80	64	32	8	8	16	24	48	40	56	32	72	16	24	16	24	0	16	40	40	48	16	32	0	0	16	8	48	32
'9	9	0	45	45	99	36	18	27	9	9	18	81	18	0	36	36	36	0	9	0	45	27	18	27	18	18	9	0	0	9	18	45
'10	0	10	10	40	70	10	40	60	60	10	0	10	50	10	20	10	0	30	10	10	0	40	20	10	10	10	0	0	0	20	0	20
11-15	13	12	232	287	199	116	39	71	73	74	76	142	152	36	208	89	82	103	72	15	105	99	61	14	69	89	14	34	24	14	53	58
16-20	0	52	133	142	182	125	54	85	73	71	71	104	57	0	90	101	49	34	67	0	35	70	16	18	35	57	17	20	18	18	20	90
21-50	0	26	724	793	649	112	71	135	26	134	266	382	297	353	567	65	162	62	254	0	166	268	145	151	263	97	209	92	98	21	205	311
51-100	0	0	562	623	561	0	0	0	0	0	361	404	358	68	241	114	129	281	61	73	170	217	0	0	0	0	56	0	0	0	308	190
101-150	0	0	117	124	107	0	0	0	0	0	0	114	102	0	0	0	0	0	0	0	0	116	0	0	114	0	0	0	0	0	123	0
151-200	0	0	158	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	212
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	36.0	25.5	15.1	12.8	12.8	14.9	18.8	9.2	20.8	17.0	10.7	7.3	8.0	14.7	10.7	11.7	13.7	14.0	11.8	12.2	13.1	7.2	10.9	24.5	13.1	3.7	6.7	28.4	27.4	20.4	7.0	5.1
'2	9.3	7.6	7.5	8.9	10.7	11.0	10.7	7.9	13.6	9.4	8.9	8.3	8.2	7.9	7.0	8.3	11.0	8.5	10.4	3.5	11.9	11.5	16.3	9.3	14.0	10.4	6.9	11.3	11.0	9.9	5.0	8.3
'3	10.5	5.2	4.6	4.8	5.9	6.8	11.1	9.8	8.6	9.3	5.2	5.1	6.0	4.3	3.5	5.5	7.1	5.4	7.8	5.2	4.8	7.1	7.9	6.5	5.2	3.7	1.7	5.4	7.9	6.3	4.3	5.2
'4	4.7	5.5	3.4	3.4	3.8	6.3	6.0	4.7	3.4	5.9	2.5	4.6	5.3	4.3	3.6	5.7	5.8	3.6	6.3	4.7	5.2	3.6	5.2	2.7	3.5	3.3	3.1	6.3	2.9	7.0	3.0	2.9
'5	2.9	5.2	3.1	3.2	3.5	3.9	7.5	5.2	4.2	4.4	2.4	3.5	3.9	2.4	1.9	1.3	4.7	3.2	4.7	2.9	2.5	3.6	5.8	4.2	3.9	4.1	6.7	4.5	4.8	5.3	4.1	3.6
