Orthogroup	Duplications (all)	Duplications (50% support)
OG0000241	6	6
OG0000242	9	9
OG0000243	6	6
OG0000244	8	6
OG0000245	13	13
OG0000246	13	10
OG0000247	4	4
OG0000248	4	3
OG0000249	6	4
OG0000250	16	16
OG0000251	13	13
OG0000252	5	5
OG0000253	2	2
OG0000254	16	16
OG0000255	13	10
OG0000256	13	12
OG0000257	14	12
OG0000258	11	11
OG0000259	15	15
OG0000260	18	18
OG0000261	6	6
OG0000262	11	10
OG0000263	9	4
OG0000264	12	12
OG0000265	5	5
OG0000266	15	15
OG0000267	6	5
OG0000268	1	1
OG0000269	6	5
OG0000270	8	7
OG0000271	11	10
OG0000272	7	7
OG0000273	14	14
OG0000274	4	3
OG0000275	5	5
OG0000276	9	8
OG0000277	4	4
OG0000278	5	4
OG0000279	5	4
OG0000280	4	3
OG0000281	6	6
OG0000282	1	1
OG0000283	8	5
OG0000284	5	3
OG0000285	6	5
OG0000286	7	6
OG0000287	16	16
OG0000288	7	5
OG0000289	16	16
OG0000290	13	13
OG0000291	3	1
OG0000292	8	6
OG0000293	9	9
OG0000294	13	13
OG0000295	8	7
OG0000296	9	9
OG0000297	8	7
OG0000298	5	3
OG0000299	5	5
OG0000300	15	15
OG0000301	5	4
OG0000302	5	2
OG0000303	5	4
OG0000304	10	10
OG0000305	13	13
OG0000306	14	14
OG0000307	11	11
OG0000308	12	12
OG0000309	0	0
OG0000310	8	7
OG0000311	12	12
OG0000312	9	9
OG0000313	7	5
OG0000314	2	2
OG0000315	7	7
OG0000316	3	2
OG0000317	6	6
OG0000318	7	7
OG0000319	13	13
OG0000320	8	6
OG0000321	8	8
OG0000322	8	8
OG0000323	8	8
OG0000324	12	12
OG0000325	10	10
OG0000326	4	4
OG0000327	9	7
OG0000328	6	6
OG0000329	11	11
OG0000330	4	4
OG0000331	6	5
OG0000332	10	10
OG0000333	13	13
OG0000334	13	13
OG0000335	13	13
OG0000336	13	13
OG0000337	13	13
OG0000338	5	4
OG0000339	6	6
OG0000340	6	6
OG0000341	10	10
OG0000342	5	3
OG0000343	4	3
OG0000344	2	2
OG0000345	9	9
OG0000346	7	7
OG0000347	7	7
OG0000348	1	1
OG0000349	2	1
OG0000350	3	3
OG0000351	5	5
OG0000352	11	11
OG0000353	8	8
OG0000354	11	11
OG0000355	7	7
OG0000356	10	10
OG0000357	5	4
OG0000358	10	10
OG0000359	7	6
OG0000360	11	11
